연도별,연료,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,계,평균
2022," 태양열"," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," 0 "
2022," 수소"," 2,448 "," 1,329 "," 318 "," 1,021 "," 944 "," 871 "," 2,200 "," 131 "," 3,607 "," 1,803 "," 964 "," 783 "," 1,163 "," 338 "," 52 "," 1,638 "," 3 "," 19,613 "," 1,154 "
2022," 전기"," 41,140 "," 12,501 "," 16,169 "," 12,942 "," 5,204 "," 7,675 "," 3,180 "," 1,879 "," 40,239 "," 8,042 "," 8,184 "," 10,015 "," 7,389 "," 8,837 "," 11,269 "," 12,725 "," 25,580 "," 232,970 "," 13,704 "
2023," 태양열"," - "," - "," - "," - "," - "," - "," - "," - "," 2 "," - "," - "," - "," - "," - "," - "," - "," - "," 2 "," 0 "
2023," 수소"," 2,922 "," 1,937 "," 558 "," 1,660 "," 1,183 "," 1,215 "," 2,573 "," 261 "," 6,319 "," 2,544 "," 1,787 "," 1,259 "," 1,938 "," 778 "," 277 "," 2,465 "," 13 "," 29,689 "," 1,746 "
2023," 전기"," 59,624 "," 22,114 "," 24,100 "," 26,342 "," 9,118 "," 14,450 "," 5,071 "," 3,081 "," 77,673 "," 14,065 "," 15,156 "," 16,617 "," 12,740 "," 15,449 "," 19,150 "," 22,749 "," 32,904 "," 390,403 "," 22,965 "
2024," 태양열"," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," 0 "
2024," 수소"," 3,163 "," 2,064 "," 631 "," 1,960 "," 1,239 "," 1,521 "," 2,828 "," 425 "," 7,507 "," 2,704 "," 2,088 "," 1,534 "," 2,351 "," 1,026 "," 412 "," 2,782 "," 33 "," 34,268 "," 2,016 "
2024," 전기"," 72,877 "," 34,789 "," 30,396 "," 40,845 "," 12,529 "," 17,981 "," 7,875 "," 4,430 "," 114,735 "," 18,247 "," 20,003 "," 24,194 "," 19,827 "," 24,276 "," 26,934 "," 36,410 "," 39,439 "," 545,787 "," 32,105 "
2025," 태양열"," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," - "," - "," - "," - "," - "," - "," - "," - "," 1 "," 0 "
2025," 수소"," 3,222 "," 2,249 "," 700 "," 2,550 "," 1,287 "," 1,822 "," 2,946 "," 527 "," 8,169 "," 2,706 "," 2,247 "," 1,740 "," 2,614 "," 1,182 "," 536 "," 2,996 "," 70 "," 37,563 "," 2,210 "
2025," 수소전기"," 8 "," 39 "," 1 "," 51 "," - "," - "," 39 "," - "," 169 "," 15 "," 21 "," - "," 18 "," 15 "," 24 "," 8 "," 1 "," 409 "," 24 "
2025," 전기"," 83,562 "," 44,591 "," 35,093 "," 54,820 "," 15,271 "," 21,364 "," 9,851 "," 5,523 "," 152,165 "," 21,077 "," 25,237 "," 30,662 "," 24,954 "," 31,566 "," 33,990 "," 46,873 "," 49,442 "," 686,041 "," 40,355 "
2026," 태양열"," - "," - "," - "," - "," - "," - "," - "," - "," 2 "," - "," - "," - "," - "," - "," - "," - "," - "," 2 "," 0 "
2026," 수소"," 3,150 "," 2,213 "," 753 "," 2,584 "," 1,301 "," 1,814 "," 2,899 "," 553 "," 8,191 "," 2,551 "," 2,195 "," 1,756 "," 2,573 "," 1,206 "," 591 "," 3,102 "," 88 "," 37,520 "," 2,207 "
2026," 수소전기"," 296 "," 334 "," 101 "," 911 "," 146 "," 249 "," 385 "," 45 "," 1,907 "," 435 "," 551 "," 380 "," 324 "," 323 "," 287 "," 472 "," 10 "," 7,156 "," 421 "
2026," 전기"," 102,103 "," 61,422 "," 42,725 "," 80,433 "," 19,217 "," 25,537 "," 13,427 "," 7,413 "," 208,446 "," 25,785 "," 33,316 "," 40,030 "," 30,610 "," 41,368 "," 45,225 "," 66,487 "," 60,868 "," 904,412 "," 53,201 "
